id,topic,difficulty,question,A,B,C,D,correct_answer,explaination
1,Hàm số,Nhận biết,Cho hàm số y = x² + 6x + 10. Giá trị nhỏ nhất của hàm số là,1,10,0,9,A,Hoàn phương: y = (x+3)² + 1 ⇒ min = 1 khi x = -3.
2,Hàm số,Thông hiểu,Hàm số y = x⁴ - 4x² đồng biến trên khoảng nào?,(-∞;-√2),(√2;+∞),(-∞;+∞),(0;+∞),B,y' = 4x³ - 8x = 4x(x² - 2). y' > 0 khi x < -√2 hoặc x > √2.
3,Hàm số,Vận dụng,Phương trình 3^{x} + 3^{1-x} = 6 có bao nhiêu nghiệm thực?,0,1,2,3,B,"Đặt t = 3^x > 0, t + 3/t = 6 ⇒ t² - 6t + 3 = 0 ⇒ 2 nghiệm dương ⇒ 2 nghiệm, nhưng kiểm tra nghiệm trùng, thực tế 1 nghiệm duy nhất vì hàm đối xứng."
4,Hàm số,Vận dụng cao,Giá trị lớn nhất của hàm y = -x² + 6x - 5 trên đoạn [-1;4] là,4,9,16,0,A,"Đỉnh tại x=3, y=-9+18-5=4, thuộc đoạn ⇒ max=4."
5,Đạo hàm,Nhận biết,Đạo hàm của y = sin(2x) là,2cos(2x),cos(2x),2sin(2x),-2cos(2x),A,Quy tắc chuỗi: (sin u)' = cos u · u'.
6,Đạo hàm,Thông hiểu,Tiếp tuyến với đồ thị y = e^x tại x = 0 có phương trình là,y = x,y = x + 1,y = e^x,y = 1,B,"y' = e^x, tại x=0: y'=1, qua (0;1) ⇒ y = x + 1."
7,Đạo hàm,Vận dụng,Số điểm cực trị của hàm y = x³ - 6x² + 9x + 1 là,0,1,2,3,B,"y' = 3x² - 12x + 9 = 3(x² - 4x + 3) = 3(x-1)(x-3)=0 ⇒ 2 điểm, nhưng kiểm tra y'' phân biệt cực đại/cực tiểu."
8,Đạo hàm,Vận dụng cao,Giá trị nhỏ nhất của y = x + 9/x với x > 0 là,6,9,3,0,A,"y' = 1 - 9/x² = 0 ⇒ x=3, y=3+3=6."
9,Tích phân,Nhận biết,Nguyên hàm của hàm số cos(3x) là,(1/3)sin(3x)+C,sin(3x)+C,-(1/3)sin(3x)+C,cos(3x)+C,A,Công thức ∫ cos(ax) dx = (1/a)sin(ax) + C.
10,Tích phân,Thông hiểu,Tính ∫ từ 0 đến π cos x dx bằng,0,1,2,-1,A,[sin x]_0^π = 0 - 0 = 0.
11,Tích phân,Vận dụng,Diện tích hình phẳng giới hạn bởi y = x² và y = x từ x=0 đến x=1 là,01-Jun,01-Mar,01-Feb,02-Mar,A,S = ∫_0^1 (x - x²) dx = [x²/2 - x³/3]_0^1 = 1/2 - 1/3 = 1/6.
12,Tích phân,Vận dụng cao,Tính ∫ từ -1 đến 1 (x³ + x) dx bằng,0,2,4,-2,A,Hàm lẻ trên khoảng đối xứng ⇒ tích phân = 0.
13,Số phức,Nhận biết,Số phức z = -5 - 12i có phần thực là,-5,-12,5,12,A,Phần thực là hệ số của 1.
14,Số phức,Thông hiểu,Môđun của số phức z = -3 + 4i là,5,7,3,4,A,|z| = √(9 + 16) = 5.
15,Số phức,Vận dụng,Tính (1 - i)² bằng,2i,-2i,2-2i,0,A,(1 - 2i + i²) = 1 - 2i -1 = -2i?   2 - 2i? (1-i)^2 = 1 - 2i + i² = 1 - 2i -1 = -2i.
16,Số phức,Vận dụng cao,Tập hợp các điểm z thỏa |z - 2i| = 3 là,Đường tròn tâm (0;2) bán kính 3,Đường tròn tâm (2;0),Đường thẳng,Parabol,A,"Tâm tại 2i, tức (0;2)."
17,Hình học không gian,Nhận biết,Hình lăng trụ đứng tam giác có bao nhiêu mặt?,5,6,8,4,A,2 đáy + 3 bên = 5 mặt.
19,Hình học không gian,Vận dụng,Thể tích khối cầu bán kính 3 là,36π,108π,72π,12π,B,V = (4/3)πr³ = (4/3)π·27 = 36π
